name,category,place,address,phone,email,website,facebook,instagram,description,summary,hours,attributes,services,rating,rating_count,rating_source,photos,logo,cover
Burger 13,brza-hrana,Струмица,ул. Младинска бр. 11,075 339 688,,burger13.mk,burger13mk,burger_13_,"Брза храна со бургери, сендвичи и тостови во центарот на Струмица.",,Од понеделник до сабота работи од 08:00 до 24:00. Во недела е затворено.,,,4.1,34,google,,,
Baking Bread Burgers,brza-hrana,Струмица,ул. Балканска бр. 12,071 765 566,,,baking_bread_burgers,baking_bread_burgers,"Дел од синџирот „Baking Bread Burgers“ (со локации во Скопје и Штип); брза храна со бургери. Просечна сметка околу 400-600 денари по лице.",,Секој ден работи од 10:00 до 24:00.,,,,,,,,
